Check,N_Wire,D_W,Measured,Force,Initial,Force_Max
y,6,12.7,0.021720394,0,0.021720394,66
y,6,12.7,0.020852683,6,0.021720394,66
y,6,12.7,0.019913148,12,0.021720394,66
y,6,12.7,0.019063637,18,0.021720394,66
y,6,12.7,0.017976121,24,0.021720394,66
y,6,12.7,0.017027269,30,0.021720394,66
y,6,12.7,0.016339904,36,0.021720394,66
y,6,12.7,0.015276671,42,0.021720394,66
y,6,12.7,0.014461794,48,0.021720394,66
y,6,12.7,0.013500392,54,0.021720394,66
y,6,12.7,0.012706942,60,0.021720394,66
y,6,12.7,0.011909675,66,0.021720394,66
n,6,12.7,0.012899108,60,0.021720394,66
n,6,12.7,0.014041102,54,0.021720394,66
n,6,12.7,0.015005812,48,0.021720394,66
n,6,12.7,0.015972381,42,0.021720394,66
n,6,12.7,0.016933753,36,0.021720394,66
n,6,12.7,0.017735296,30,0.021720394,66
n,6,12.7,0.018519984,24,0.021720394,66
n,6,12.7,0.019230531,18,0.021720394,66
n,6,12.7,0.020602939,12,0.021720394,66
n,6,12.7,0.021300338,6,0.021720394,66
n,6,12.7,0.02176937,0,0.021720394,66
y,6,12.7,0.021720394,0,0.021720394,66
y,6,12.7,0.020451541,6,0.021720394,66
y,6,12.7,0.019685012,12,0.021720394,66
y,6,12.7,0.018789189,18,0.021720394,66
y,6,12.7,0.017844328,24,0.021720394,66
y,6,12.7,0.016645357,30,0.021720394,66
y,6,12.7,0.015755552,36,0.021720394,66
y,6,12.7,0.014595995,42,0.021720394,66
y,6,12.7,0.013563779,48,0.021720394,66
y,6,12.7,0.012354342,54,0.021720394,66
y,6,12.7,0.011250176,60,0.021720394,66
y,6,12.7,0.01015267,66,0.021720394,66
n,6,12.7,0.011265123,60,0.021720394,66
n,6,12.7,0.012710101,54,0.021720394,66
n,6,12.7,0.01363706,48,0.021720394,66
n,6,12.7,0.01494795,42,0.021720394,66
n,6,12.7,0.016223588,36,0.021720394,66
n,6,12.7,0.016910975,30,0.021720394,66
n,6,12.7,0.017986155,24,0.021720394,66
n,6,12.7,0.018880241,18,0.021720394,66
n,6,12.7,0.02025351,12,0.021720394,66
n,6,12.7,0.021040293,6,0.021720394,66
n,6,12.7,0.02186047,0,0.021720394,66
